team_market,team_name,team_id,team_city,team_state,conference_name,conference_id
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,Edwardsville,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Richmond,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,Cookeville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,Terre Haute,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Cedar Falls,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,Normal,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,Chicago,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,Carbondale,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,Des Moines,IA,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Peoria,IL,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,Springfield,MO,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,Evansville,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,IN,Missouri Valley,1d9219c1-696c-42a2-b1be-e8b438795521
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Ames,IA,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Austin,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Stillwater,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Norman,OK,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Manhattan,KS,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Waco,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Morgantown,WV,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,Fort Worth,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,Fort Worth,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,Fort Worth,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,Fort Worth,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,Fort Worth,TX,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
